name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Jalsa,Yes,Yes,4.1/5,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800,Buffet,Banashankari
Spice Elephant,Yes,No,4.1/5,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Buffet,Banashankari
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Buffet,Banashankari
Addhuri Udupi Bhojana,No,No,3.7/5,88,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300,Buffet,Banashankari
Grand Village,No,No,3.8/5,166,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600,Buffet,Banashankari
Timepass Dinner,Yes,No,3.8/5,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Buffet,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,Mysore Road,Casual Dining,,"North Indian, South Indian, Andhra, Chinese",800,Buffet,Banashankari
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Cafes,Banashankari
Penthouse Cafe,Yes,No,4.0/5,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,,
 service was sluggish as they took too long to prepare the dishes though there only a few in the cafÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â©. I hope they get good experience out of this and improve in future.\nTaste 3.5/5\nHygiene 3.5/5\nPrice 3/5\nAmbience 2/5\nServing size 3/5\nService 3/5'), ('Rated 4.0', 'RATED\n  Amazing cafe,\nTop floor, no outdoor seating.\nFood is delicious, a nice place to give a try.'), ('Rated 1.0', 'RATED\n  Located opposite to wildcraft store..this place is on the 4th floor.\nThe ambience is not good..feels very congested.\nWell for starters, we had nachos cheese salsa which was okay. We ordered some garlic bread with cheese. A complete disappointment as it just had some processed cheese and the bread was dipped in ghee.\nWe ordered some chicken Alfredo hoping it would be better but to our disappointment, it turned out worse than the garlic bread. The Kentucky killing pizza was the worst dish ever made. Hot chocolate was quite good. Lychee punch was okay. Rest was horrible. This place does not even have a proper place for hand wash.\nFood-1/5\nService and staff-2/5\nAmbience-1/5\nHope they really improve.'), parking facility I could not locate. Staff can be little more local speaking ," it was little difficult to converse. Overall not a bad experience."""")]"""
Smacznego,Yes,No,4.2/5,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Cafes,Banashankari
CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Down The Alley,Yes,No,4.1/5,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Cafes,Banashankari
Cafe Shuffle,Yes,Yes,4.2/5,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Cafes,Banashankari
